BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
S001187,2020 HON. STEVE STIVERS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,17551.6,15520.97
S001187,2020 HON. STEVE STIVERS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,634927.77,215136.41
S001187,2020 HON. STEVE STIVERS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,18860.59,4322.57
S001187,2020 HON. STEVE STIVERS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,63731.04,21329.68
S001187,2020 HON. STEVE STIVERS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,129.64,29.64
S001187,2020 HON. STEVE STIVERS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,57119.18,34470
S001187,2020 HON. STEVE STIVERS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5771.76,3400.39
S001187,2020 HON. STEVE STIVERS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10001.99,6084.49
S001187,2020 HON. STEVE STIVERS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,808093.57,300294.15
S001187,2020 HON. STEVE STIVERS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,808093.57,300294.15
S001187,2020 HON. STEVE STIVERS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,15708.34,5716.66
S001187,2020 HON. STEVE STIVERS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,15708.34,5716.66
S001187,2020 HON. STEVE STIVERS,INTERN ALLOWANCES,OFFICE TOTALS:,15708.34,5716.66
S001201,2020 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,57851.15,26416.35
S001201,2020 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,768917.09,252095.55
S001201,2020 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7495.46,1616.94
S001201,2020 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,48659.25,23097.39
S001201,2020 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,62156,28551.98
S001201,2020 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,17487.45,5685
S001201,2020 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5732.78,2009.63
S001201,2020 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3577.4,2210.6
S001201,2020 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,971876.58,341683.44
S001201,2020 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,971876.58,341683.44
S001201,2020 HON. THOMAS R SUOZZI,INTERN ALLOWANCES,PERSONNEL COMPENSATION,4759.99,525
S001201,2020 HON. THOMAS R SUOZZI,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,4759.99,525
S001201,2020 HON. THOMAS R SUOZZI,INTERN ALLOWANCES,OFFICE TOTALS:,4759.99,525
S001193,2020 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,27927.04,14032.11
S001193,2020 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,845357.2,276218.07
S001193,2020 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14665.51,902.01
S001193,2020 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,38889.23,23468.71
S001193,2020 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,12769.36,12123.76
S001193,2020 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33478.16,10204.16
S001193,2020 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6294.32,1678.14
S001193,2020 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2035.17,411
S001193,2020 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,981415.99,339037.96
S001193,2020 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,981415.99,339037.96
S001193,2020 HON. ERIC SWALWELL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,9950.01,3400
S001193,2020 HON. ERIC SWALWELL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,9950.01,3400
S001193,2020 HON. ERIC SWALWELL,INTERN ALLOWANCES,OFFICE TOTALS:,9950.01,3400
T000472,2020 HON. MARK TAKANO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,73,16.79
T000472,2020 HON. MARK TAKANO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,775623.74,259566.62
T000472,2020 HON. MARK TAKANO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,19320.53,1903.92
T000472,2020 HON. MARK TAKANO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,74312.35,24067.28
T000472,2020 HON. MARK TAKANO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2185.07,1885.07
T000472,2020 HON. MARK TAKANO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,36810.18,11197.5
T000472,2020 HON. MARK TAKANO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11338.9,1292.55
T000472,2020 HON. MARK TAKANO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6960.93,1038
T000472,2020 HON. MARK TAKANO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,926624.7,300967.73
T000472,2020 HON. MARK TAKANO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,926624.7,300967.73
T000472,2020 HON. MARK TAKANO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,3244.57,1000
T000472,2020 HON. MARK TAKANO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,3244.57,1000
T000472,2020 HON. MARK TAKANO,INTERN ALLOWANCES,OFFICE TOTALS:,3244.57,1000
T000479,2020 HON. VAN TAYLOR,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,65839.7,30466.81
T000479,2020 HON. VAN TAYLOR,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,711656.63,249274.99
T000479,2020 HON. VAN TAYLOR,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10290.91,2432.82
T000479,2020 HON. VAN TAYLOR,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,53171.09,6433.6
T000479,2020 HON. VAN TAYLOR,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,68360.09,38100.22
T000479,2020 HON. VAN TAYLOR,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,213.75,75
T000479,2020 HON. VAN TAYLOR,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7149.72,2571.57
T000479,2020 HON. VAN TAYLOR,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10188.8,1487.09
T000479,2020 HON. VAN TAYLOR,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,926870.69,330842.1
T000479,2020 HON. VAN TAYLOR,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,926870.69,330842.1
T000479,2020 HON. VAN TAYLOR,INTERN ALLOWANCES,PERSONNEL COMPENSATION,4000,0
T000479,2020 HON. VAN TAYLOR,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,4000,0
T000479,2020 HON. VAN TAYLOR,INTERN ALLOWANCES,OFFICE TOTALS:,4000,0
T000193,2020 HON. BENNIE G. THOMPSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1547.33,503.61
T000193,2020 HON. BENNIE G. THOMPSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,657866.21,209886.04
T000193,2020 HON. BENNIE G. THOMPSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,26121.12,5492.01
T000193,2020 HON. BENNIE G. THOMPSON,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,334.9,229
T000193,2020 HON. BENNIE G. THOMPSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,46225.67,16270.76
T000193,2020 HON. BENNIE G. THOMPSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2029.11,111.1
T000193,2020 HON. BENNIE G. THOMPSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38708.7,15117
T000193,2020 HON. BENNIE G. THOMPSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,23134.09,6665.58
T000193,2020 HON. BENNIE G. THOMPSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10672.21,3143.5
T000193,2020 HON. BENNIE G. THOMPSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,806639.34,257418.6
T000193,2020 HON. BENNIE G. THOMPSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,806639.34,257418.6
T000193,2020 HON. BENNIE G. THOMPSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,12480,5280
T000193,2020 HON. BENNIE G. THOMPSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,12480,5280
T000193,2020 HON. BENNIE G. THOMPSON,INTERN ALLOWANCES,OFFICE TOTALS:,12480,5280
T000467,2020 HON. GLENN THOMPSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1714.24,765.96
T000467,2020 HON. GLENN THOMPSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,821494.43,281068.75
T000467,2020 HON. GLENN THOMPSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15246.18,3752.24
T000467,2020 HON. GLENN THOMPSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,47355.86,14231.89
T000467,2020 HON. GLENN THOMPSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,383.84,166.61
T000467,2020 HON. GLENN THOMPSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21941.38,6000.94
T000467,2020 HON. GLENN THOMPSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4185.81,72.95
T000467,2020 HON. GLENN THOMPSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5167.14,1940.64
T000467,2020 HON. GLENN THOMPSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,917488.88,307999.98
T000467,2020 HON. GLENN THOMPSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,917488.88,307999.98
T000460,2020 HON. MIKE THOMPSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1059.78,590.5
T000460,2020 HON. MIKE THOMPSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,905221.2,303641.22
T000460,2020 HON. MIKE THOMPSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,28683.72,10702.24
T000460,2020 HON. MIKE THOMPSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,62325.49,21872.78
T000460,2020 HON. MIKE THOMPSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4584.55,964.35
T000460,2020 HON. MIKE THOMPSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,32055,10851
T000460,2020 HON. MIKE THOMPSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9416.25,3129.69
T000460,2020 HON. MIKE THOMPSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,12952.24,-375.15
T000460,2020 HON. MIKE THOMPSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1056298.23,351376.63
T000460,2020 HON. MIKE THOMPSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1056298.23,351376.63
T000460,2020 HON. MIKE THOMPSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,15978.91,8778.91
T000460,2020 HON. MIKE THOMPSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,15978.91,8778.91
T000460,2020 HON. MIKE THOMPSON,INTERN ALLOWANCES,OFFICE TOTALS:,15978.91,8778.91
T000238,2020 HON. MAC THORNBERRY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1028.22,292.22
T000238,2020 HON. MAC THORNBERRY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,806317.95,295336.08
T000238,2020 HON. MAC THORNBERRY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,28537.02,8769.43
T000238,2020 HON. MAC THORNBERRY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,42140.29,15661.88
T000238,2020 HON. MAC THORNBERRY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1014.53,480.04
T000238,2020 HON. MAC THORNBERRY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11781.34,10632.69
T000238,2020 HON. MAC THORNBERRY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7595.05,663.27
T000238,2020 HON. MAC THORNBERRY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5193.6,2156.78
T000238,2020 HON. MAC THORNBERRY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,903608,333992.39
T000238,2020 HON. MAC THORNBERRY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,903608,333992.39
T000238,2020 HON. MAC THORNBERRY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5814.67,0
T000238,2020 HON. MAC THORNBERRY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5814.67,0
T000238,2020 HON. MAC THORNBERRY,INTERN ALLOWANCES,OFFICE TOTALS:,5814.67,0
T000165,2020 HON. THOMAS P. TIFFANY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,17656.36,17656.36
T000165,2020 HON. THOMAS P. TIFFANY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,313718.33,219241.67
T000165,2020 HON. THOMAS P. TIFFANY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,19508.55,18078.77
T000165,2020 HON. THOMAS P. TIFFANY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,13547.2,13266.06
T000165,2020 HON. THOMAS P. TIFFANY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,15385.01,15027.61
T000165,2020 HON. THOMAS P. TIFFANY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,18790.75,10390.75
T000165,2020 HON. THOMAS P. TIFFANY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2702.64,2111.24
T000165,2020 HON. THOMAS P. TIFFANY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,11460.8,10676.8
T000165,2020 HON. THOMAS P. TIFFANY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,412769.64,306449.26
T000165,2020 HON. THOMAS P. TIFFANY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,412769.64,306449.26
T000165,2020 HON. THOMAS P. TIFFANY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,1800,1800
T000165,2020 HON. THOMAS P. TIFFANY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,1800,1800
T000165,2020 HON. THOMAS P. TIFFANY,INTERN ALLOWANCES,OFFICE TOTALS:,1800,1800
T000480,2020 HON. WILLIAM R. TIMMONS IV,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,35432.6,17464.91
T000480,2020 HON. WILLIAM R. TIMMONS IV,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,620384.48,214520.8
T000480,2020 HON. WILLIAM R. TIMMONS IV,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,16749.57,4025.15
T000480,2020 HON. WILLIAM R. TIMMONS IV,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,44493.64,18853.37
T000480,2020 HON. WILLIAM R. TIMMONS IV,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,135703.16,63588.16
T000480,2020 HON. WILLIAM R. TIMMONS IV,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,10808.5,10808.5
T000480,2020 HON. WILLIAM R. TIMMONS IV,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12379.21,3709.26
T000480,2020 HON. WILLIAM R. TIMMONS IV,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8015.5,1724.66
T000480,2020 HON. WILLIAM R. TIMMONS IV,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,883966.66,334694.81
T000480,2020 HON. WILLIAM R. TIMMONS IV,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,883966.66,334694.81
T000480,2020 HON. WILLIAM R. TIMMONS IV,INTERN ALLOWANCES,PERSONNEL COMPENSATION,9780.01,4480
T000480,2020 HON. WILLIAM R. TIMMONS IV,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,9780.01,4480
T000480,2020 HON. WILLIAM R. TIMMONS IV,INTERN ALLOWANCES,OFFICE TOTALS:,9780.01,4480
T000470,2020 HON. SCOTT R. TIPTON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,24963.43,143.06
T000470,2020 HON. SCOTT R. TIPTON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,820216.26,339130.6
T000470,2020 HON. SCOTT R. TIPTON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,21892.78,4854.84
T000470,2020 HON. SCOTT R. TIPTON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,55177.4,17884.69
T000470,2020 HON. SCOTT R. TIPTON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,26715.8,132.95
T000470,2020 HON. SCOTT R. TIPTON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,30861,10287
T000470,2020 HON. SCOTT R. TIPTON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3063.93,985.81
T000470,2020 HON. SCOTT R. TIPTON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2037.9,391.5
T000470,2020 HON. SCOTT R. TIPTON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,984928.5,373810.45
T000470,2020 HON. SCOTT R. TIPTON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,984928.5,373810.45
T000470,2020 HON. SCOTT R. TIPTON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7861.13,0
T000470,2020 HON. SCOTT R. TIPTON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,7861.13,0
T000470,2020 HON. SCOTT R. TIPTON,INTERN ALLOWANCES,OFFICE TOTALS:,7861.13,0
T000468,2020 HON. DINA TITUS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,83984.6,-25.57
T000468,2020 HON. DINA TITUS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,695161.25,234333.37
T000468,2020 HON. DINA TITUS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,21079.29,5127.48
T000468,2020 HON. DINA TITUS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,17077.24,6029.39
T000468,2020 HON. DINA TITUS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,98284.79,420
T000468,2020 HON. DINA TITUS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,1290,250
T000468,2020 HON. DINA TITUS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8981.36,1123.86
T000468,2020 HON. DINA TITUS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1793.68,617.68
T000468,2020 HON. DINA TITUS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,927652.21,247876.21
T000468,2020 HON. DINA TITUS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,927652.21,247876.21
T000468,2020 HON. DINA TITUS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,8720,0
T000468,2020 HON. DINA TITUS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,8720,0
T000468,2020 HON. DINA TITUS,INTERN ALLOWANCES,OFFICE TOTALS:,8720,0
T000481,2020 HON. RASHIDA TLAIB,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,58375.26,18294.16
T000481,2020 HON. RASHIDA TLAIB,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,752085.25,259263.05
T000481,2020 HON. RASHIDA TLAIB,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10280.94,1684.76
T000481,2020 HON. RASHIDA TLAIB,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,92912.39,33147.51
T000481,2020 HON. RASHIDA TLAIB,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,41106.39,6897.76
T000481,2020 HON. RASHIDA TLAIB,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,32237.27,10683.27
T000481,2020 HON. RASHIDA TLAIB,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8040.62,1482.45
T000481,2020 HON. RASHIDA TLAIB,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,22504.48,5434.9
T000481,2020 HON. RASHIDA TLAIB,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1017542.6,336887.86
T000481,2020 HON. RASHIDA TLAIB,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1017542.6,336887.86
T000481,2020 HON. RASHIDA TLAIB,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14785.33,3952
T000481,2020 HON. RASHIDA TLAIB,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,14785.33,3952
T000481,2020 HON. RASHIDA TLAIB,INTERN ALLOWANCES,OFFICE TOTALS:,14785.33,3952
T000469,2020 HON. PAUL TONKO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4930.81,3825.7
T000469,2020 HON. PAUL TONKO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,779846.14,254896.74
T000469,2020 HON. PAUL TONKO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7026,913.51
T000469,2020 HON. PAUL TONKO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,55913.26,21251.46
T000469,2020 HON. PAUL TONKO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,9980.18,8461.47
T000469,2020 HON. PAUL TONKO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19962.08,5505
T000469,2020 HON. PAUL TONKO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3078.75,745.33
T000469,2020 HON. PAUL TONKO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,9044.91,2221.92
T000469,2020 HON. PAUL TONKO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,889782.13,297821.13
T000469,2020 HON. PAUL TONKO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,889782.13,297821.13
T000469,2020 HON. PAUL TONKO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,17992.02,6897.49
T000469,2020 HON. PAUL TONKO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,17992.02,6897.49
T000469,2020 HON. PAUL TONKO,INTERN ALLOWANCES,OFFICE TOTALS:,17992.02,6897.49
T000474,2020 HON. NORMA J. TORRES,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,25044.57,12540.54
T000474,2020 HON. NORMA J. TORRES,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,643039.84,209542.19
T000474,2020 HON. NORMA J. TORRES,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,29852.73,4203.75
T000474,2020 HON. NORMA J. TORRES,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,81044.4,30464.4
T000474,2020 HON. NORMA J. TORRES,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,36280.14,17538.39
T000474,2020 HON. NORMA J. TORRES,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,16515,5505
T000474,2020 HON. NORMA J. TORRES,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11292.74,4723.06
T000474,2020 HON. NORMA J. TORRES,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4443,1099
T000474,2020 HON. NORMA J. TORRES,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,847512.42,285616.33
T000474,2020 HON. NORMA J. TORRES,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,847512.42,285616.33
T000474,2020 HON. NORMA J. TORRES,INTERN ALLOWANCES,PERSONNEL COMPENSATION,3960,0
T000474,2020 HON. NORMA J. TORRES,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,3960,0
T000474,2020 HON. NORMA J. TORRES,INTERN ALLOWANCES,OFFICE TOTALS:,3960,0
T000484,2020 HON. XOCHITL TORRES SMALL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,115487.32,63734.74
T000484,2020 HON. XOCHITL TORRES SMALL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,603450.48,209038.88
T000484,2020 HON. XOCHITL TORRES SMALL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24521.12,5628.6
T000484,2020 HON. XOCHITL TORRES SMALL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,41201.41,11167.54
T000484,2020 HON. XOCHITL TORRES SMALL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,105806.87,72197.44
T000484,2020 HON. XOCHITL TORRES SMALL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,395.21,0
T000484,2020 HON. XOCHITL TORRES SMALL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3000.89,1412.56
